gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,direction
NMNAT1,2075.1050087331987,-1.7657043926537186,0.144802898826757,-12.193846994501243,3.352150756127242e-34,5.320868895200771e-30,Down
ALDH6A1,27486.372843862235,-1.8577078728837773,0.1584380086253293,-11.725140255182351,9.474398436557551e-32,7.5193563191739e-28,Down
ENTPD5,1799.8337306599126,-2.689024343290046,0.2330472783262245,-11.538535710877914,8.434884730323908e-31,4.46289751081438e-27,Down
TRPM8,678.2578047357897,-2.702956034999264,0.26351841857967856,-10.257180691838382,1.0986763046555681e-24,4.359822245949458e-21,Down
WFDC1,1271.118951984119,2.18892079696475,0.22272136030459735,9.828068551535186,8.523779877919074e-23,2.7059591600441893e-19,Up
CLDN5,407.8672124503783,2.660731949685789,0.2736646501738269,9.722600080045922,2.41533711146144e-22,6.38977432837124e-19,Up
LOC101104943,3992.1774777868195,-3.3145783165879537,0.35788822086031535,-9.261490385518002,2.0159827374043126e-20,4.571384855831236e-17,Down
HIBADH,5542.355609865363,-1.2664923733186648,0.138931341465779,-9.115958717138147,7.797793907514309e-20,1.5471797836746828e-16,Down
RNF208,110.4428973753235,2.9395759701601016,0.32866158846831306,8.944081308252766,3.7505637147642796e-19,6.614744204939268e-16,Up
TPT1_1,311.4954185490286,3.3802042391784246,0.3806329120308529,8.880483353747497,6.657045583360183e-19,1.0566728454467617e-15,Up
GLUD1,6994.664143670822,-1.906628849748631,0.21628339081883458,-8.815419633150103,1.1923760735995982e-18,1.7205986742042202e-15,Down
NOXA1,274.25523446438314,2.836033328064749,0.32340502331899507,8.769292755441798,1.797920132758314e-18,2.37819885560606e-15,Up
LOC114115241,299.60025036492084,-4.774697390328336,0.5468048947291978,-8.731994604205179,2.5022016419294552e-18,3.0551882047958647e-15,Down
PRUNE2,1898.9934023409685,-2.9829933434505578,0.34437915617974735,-8.66194509720442,4.6378172634627755e-18,5.258290958781759e-15,Down
NRTN,247.32117036258765,2.6010635475050496,0.30088801713321717,8.644623246506482,5.398311887524762e-18,5.7124936393787034e-15,Up
KMO,1216.4956687289161,-2.643016276529378,0.30760444620598404,-8.59225641608415,8.527781575695258e-18,8.460092309438177e-15,Down
KLHDC8B,328.3745169250172,1.9373610888109154,0.22904301339094152,8.458503318344556,2.7083091930960334e-17,2.5287642248243143e-14,Up
ACOT13,1548.8030179947116,-1.9236241895767494,0.232262538156176,-8.282111290298921,1.210104214218617e-16,1.0671102329051172e-13,Down
LOC494440,1413.9874886834564,-4.306477496808069,0.521383810601248,-8.259706974487635,1.460305113687573e-16,1.21996963524015e-13,Down
DMGDH,7062.928400015428,-2.5588318861609474,0.31134849105753765,-8.218545969082829,2.0598528434751986e-16,1.6348022092240914e-13,Down
LRRC8B,1507.0469611116719,-1.619177969037005,0.19895716330956614,-8.138324562446918,4.007852589934361e-16,3.0293640076203864e-13,Down
SLC2A2,1318.6028849632485,-3.2500498599508894,0.402350980554317,-8.077648662551564,6.602751186187765e-16,4.632443555368201e-13,Down
ENPEP,7185.106447066984,-1.490731546510529,0.18459610932709933,-8.075639036730687,6.712417424145947e-16,4.632443555368201e-13,Down
LOC114110477,94.60979275066418,-9.950054381289066,1.2351742064936733,-8.055587891148237,7.909770863214963e-16,5.231324704658796e-13,Down
GPNMB,30477.873966859752,-1.23663469985544,0.1538472643876413,-8.038067526111828,9.126633496731599e-16,5.794682139744826e-13,Down
LOC105609224,168.8235490684817,-2.806345615460737,0.35700265813898363,-7.860853558037674,3.8152462059954925e-15,2.329207808760248e-12,Down
APOB,1143.6529084770111,-3.4821187292021776,0.44452053902834765,-7.833425957805109,4.747524773017814e-15,2.771480343572375e-12,Down
RNF14,1307.6098357713338,-1.2128857837571045,0.15490759215768088,-7.829737502617074,4.8888962149578844e-15,2.771480343572375e-12,Down
LOC101104237,152.163455113521,-2.762074505945357,0.3556667964447914,-7.765904868137169,8.1064381105995e-15,4.43701696998434e-12,Down
LYPLA1,3384.654135676724,-1.253068903814562,0.16344864671257622,-7.666437924188375,1.7683868875531205e-14,9.35653502204356e-12,Down
AK4,4407.463715535594,-1.7131210616940538,0.22478335297386526,-7.621209662680101,2.513093617219584e-14,1.2867849995524663e-11,Down
TACC1,8231.390815149478,-1.4538647186260227,0.19106728152936478,-7.609176762179353,2.7584727568235514e-14,1.3682886896581323e-11,Down
ROS1,264.1463708836671,-3.452055560209462,0.4587389525466045,-7.525097969217598,5.268080836631466e-14,2.533946882419735e-11,Down
FASTK,772.4865556169227,1.753896241384997,0.23329160190845655,7.5180427715234455,5.56023142851608e-14,2.5958103960245807e-11,Up
PRKAA2,426.9716604816798,-2.5947401561429846,0.3464573924391387,-7.489348510867165,6.921632279120626e-14,3.139059119042334e-11,Down
SLC16A10,3073.8095952164626,-1.461491297613631,0.19533912960373442,-7.481815346359006,7.33028956645467e-14,3.2320468413426386e-11,Down
LOC114113841,117.42417924948674,2.6844422113177013,0.3603491537295144,7.4495588057706374,9.36528894291907e-14,4.0177089565122806e-11,Up
SLC16A12,4020.1694026631862,-1.9360794111082824,0.2607270769231289,-7.425693694556717,1.1219035615081198e-13,4.686309271531154e-11,Down
APBB2,3373.9016940662173,-1.7545634893336275,0.23695915216569294,-7.404497666782478,1.3164784271570767e-13,5.3580671985293024e-11,Down
IRAK3,219.84766152457888,-1.9527419249630846,0.2642013803232231,-7.391111744284252,1.4560618327254746e-13,5.637090114841819e-11,Down
C1QL1,97.81620185133377,2.4484424758931316,0.3312461687696007,7.391609946728631,1.450615409703536e-13,5.637090114841819e-11,Up
ENPP6,2786.215823668347,-2.4677540254298918,0.3368501541788096,-7.325969707349275,2.3717736798751073e-13,8.963610385870852e-11,Down
