D0_R1	D0_R2	D0_R3	D7_R1	D7_R2	D7_R3	D14_R1	D14_R2	D14_R3
THADA	526	344	384	250	191	289	252	244	311
LOC114113940	27	24	13	18	19	15	30	14	17
ZFP36L2	3288	2633	3039	1898	1668	3051	2080	2174	5278
LOC114113941	0	0	0	0	0	0	0	0	0
LOC105606921	204	128	171	189	119	165	130	173	149
TRNAI-UAU	0	0	0	0	0	0	0	0	0
HAAO	3024	1372	1684	2324	2775	1389	1654	2952	2106
OXER1	188	77	117	81	93	129	82	198	108
MTA3	269	175	169	132	159	221	139	166	158
KCNG3	3	0	4	0	0	3	0	0	0
LOC106990757	1	1	4	0	0	2	0	1	0
LOC101115694	1803	1166	1168	1928	1603	1337	1181	984	1976
EML4	1938	902	1051	525	424	1109	820	722	1061
LOC114113942	43	10	7	20	17	42	14	27	26
LOC105606919	61	13	19	14	37	22	38	28	43
LOC106990184	9	9	7	2	0	9	8	5	12
PKDCC	548	220	471	718	775	450	450	359	573
LOC106991055	43	17	40	44	47	21	25	42	49
LOC114113608	1	0	1	3	3	0	3	0	0
TRNAG-UCC_18	0	0	0	0	0	0	0	0	0
SLC8A1	2340	3146	2546	2054	1545	1695	1686	1800	2374
THUMPD2	160	132	105	175	124	167	82	77	179
TMEM178A	115	76	39	100	101	89	31	59	60
LOC106991057	20	18	6	12	19	12	1	1	19
MAP4K3	1250	768	902	709	593	1364	543	643	1116
LOC114114199	0	2	4	1	0	0	0	0	0
CDKL4	88	30	34	9	24	25	24	18	63
LOC105609057	0	0	0	0	0	2	3	0	0
SOS1	1116	666	836	418	392	933	550	614	950
ARHGEF33	50	26	18	37	19	14	16	25	19
MORN2	94	52	86	106	164	64	103	71	74
DHX57	550	321	384	308	385	399	205	226	459
GEMIN6	291	184	215	168	155	161	136	178	195
SRSF7	1288	960	924	1942	1889	1589	874	713	1692
GALM	4833	2267	2481	2332	2090	1501	2808	2503	3062
LOC114114181	0	0	0	0	0	0	0	0	0
HNRNPLL	936	508	625	485	378	720	513	443	801
ATL2	2560	1639	1786	1325	1242	1899	1297	1157	3726
LOC101119456	87	49	36	43	84	68	66	42	44
LOC101119706	258	119	261	184	162	433	214	165	74
RMDN2	393	184	252	291	246	237	329	286	392
LOC114114103	4	3	1	4	1	4	3	2	6
CDC42EP3	300	277	217	325	228	376	158	214	297
TRNAC-GCA_78	0	0	0	0	0	0	0	0	0
TRNAS-GGA_37	0	0	0	0	0	0	0	0	0
QPCT	2	6	9	0	2	10	9	2	16
PRKD3	982	764	711	428	325	957	446	499	854
NDUFAF7	500	327	462	376	258	467	464	291	400
CEBPZ	2611	1758	2069	1300	1100	1541	1404	1705	2223
CEBPZOS	78	23	31	94	90	77	52	26	105
SULT6B1	30	1	5	16	4	23	22	3	16
EIF2AK2	1075	488	468	56	46	236	277	107	522
GPATCH11	1323	687	565	617	471	567	536	367	1039
HEATR5B	1525	793	1022	408	475	670	799	753	980
STRN	1019	705	797	349	329	766	388	411	789
VIT	0	6	0	0	4	2	0	0	0
FEZ2	554	420	409	474	323	453	383	332	473
CRIM1	7294	3915	4243	2766	2285	5768	2674	3474	5666
LOC114113611	0	0	0	0	0	0	0	0	0
LOC114113727	0	0	0	0	0	0	0	0	0
LOC114114214	0	0	0	0	0	0	0	0	0
LOC114113728	0	0	0	0	7	0	0	0	0
FAM98A	1215	766	895	842	650	974	695	707	1278
RASGRP3	863	559	616	487	439	832	360	383	402
LTBP1	4896	3256	2996	3470	2680	5690	2942	2930	4385
LOC114113943	67	53	61	14	11	33	29	147	66
TTC27	338	206	213	187	188	263	149	212	287
LOC114113612	9	2	1	15	1	9	3	7	13
BIRC6	3598	2016	2673	1098	763	2139	1526	1588	2563
YIPF4	1307	610	773	649	590	900	629	749	1096
NLRC4	33	36	42	37	21	35	13	8	46
SLC30A6	941	523	669	367	364	688	329	387	655
SPAST	564	450	435	384	308	458	288	286	614
DPY30	572	440	428	521	517	412	267	305	431
MEMO1	924	503	579	598	453	661	518	459	974
SRD5A2	0	0	0	0	0	0	1	0	0
LOC114113944	708	827	26	2198	1687	582	362	820	1580
XDH	2	0	0	0	3	5	0	0	0
FAM136A	141	126	125	109	101	104	91	67	102
LOC101102137	0	0	0	0	0	0	0	0	0
LOC101106246	15	5	5	11	14	15	7	17	26
TGFA	528	211	282	254	240	542	231	261	328
ADD2	2	4	1	2	7	15	12	0	3
FIGLA	0	0	2	4	0	1	1	0	3
CLEC4F	42	14	18	3	0	3	0	5	21
CD207	0	0	3	1	3	4	5	8	2
VAX2	1	0	0	0	0	3	0	0	0
ATP6V1B1	5273	4743	4494	8564	8036	7326	4671	5837	9968
ANKRD53	0	2	4	5	1	0	0	2	1
TEX261	2220	1292	1347	1726	1401	1304	1253	1382	1821
NAGK	447	239	255	437	455	354	339	260	379
PAIP2B	851	422	540	330	287	700	435	410	522
TRNAS-GGA_38	0	0	0	0	0	0	0	0	0
ZNF638	5050	2962	3650	1762	1492	3218	2138	2461	3869
DYSF	799	771	602	788	712	826	479	592	667
LOC101110922	228	83	124	75	46	180	55	88	44
EXOC6B	717	462	591	380	347	536	415	488	467
SPR	1258	532	486	930	868	840	1012	803	940
EMX1	312	196	177	551	568	347	451	317	502
SFXN5	1161	633	666	726	784	614	900	974	991
RAB11FIP5	2621	2028	2264	1909	1798	2289	1988	2775	4193
NOTO	1	0	1	0	0	0	0	2	0
SMYD5	326	256	304	355	310	295	193	207	386
PRADC1	413	222	264	485	474	321	391	328	409
CCT7	2638	1713	2140	2070	2106	2036	1851	1901	2364
FBXO41	38	6	21	13	5	11	38	26	16
EGR4	0	0	0	0	0	0	0	0	0
ALMS1	750	554	546	262	239	632	338	371	430
NAT8	17506	23790	19060	19067	18646	7666	45489	23228	64701
TPRKB	514	401	465	555	442	489	714	390	939
LOC114114176	0	0	0	0	0	0	0	0	0
DUSP11	742	483	577	486	501	522	423	390	673
LOC101105149	60	98	29	149	133	42	39	92	174
C3H2orf78	0	0	0	0	0	0	0	0	0
STAMBP	414	289	319	311	279	581	295	275	502
ACTG2	4	14	7	42	42	84	6	6	22
DGUOK	114	61	26	110	94	132	101	60	145
TET3	449	355	307	199	182	403	294	259	450
BOLA3	668	381	354	778	770	405	606	493	683
MOB1A	3126	1887	2136	1280	1054	2338	1336	1310	2391
MTHFD2	91	59	87	16	53	64	58	58	83
SLC4A5	137	53	94	49	50	48	105	118	135
LOC101106158	0	0	0	0	0	0	0	0	0
DCTN1	2505	1306	1505	2332	2586	2474	1790	2097	2198
LOC101116640	0	0	0	0	1	2	0	0	0
C3H2orf81	7	2	3	8	28	12	13	2	15
WDR54	118	42	46	138	147	68	51	62	91
RTKN	602	335	312	399	529	531	366	435	486
INO80B	338	236	212	372	373	286	287	265	283
WBP1	0	0	0	0	0	0	0	0	0
MOGS	500	276	282	503	476	381	326	307	555
MRPL53	1148	755	836	770	693	926	760	765	1040
CCDC142	118	65	46	63	51	123	94	84	119
TTC31	115	75	84	182	236	137	101	83	117
LBX2	2	2	1	5	17	5	8	5	2
PCGF1	98	69	81	144	139	130	92	67	87
TLX2	13	1	1	2	1	15	3	1	0
DQX1	46	23	23	82	116	64	58	43	51
AUP1	1981	1260	1386	1900	1979	1170	1450	1500	1728
HTRA2	1186	504	471	949	898	619	749	587	924
LOXL3	154	194	86	181	163	183	98	105	168
DOK1	101	69	71	103	102	130	96	67	103
M1AP	1	0	0	4	1	0	2	0	1
SEMA4F	47	47	27	55	79	61	36	38	80
HK2	49	32	20	20	8	54	27	38	21
LOC101107950	679	552	351	1165	953	743	489	507	939
LOC114114171	0	0	0	0	0	0	0	2	0
TACR1	0	0	0	4	0	0	0	2	0
LOC101122263	16	21	7	10	6	37	14	49	42
FHL2	1107	753	607	1643	1544	1003	724	724	1112
LOC114113953	4	10	3	18	9	8	6	1	11
C3H2orf49	585	368	369	487	437	556	283	336	546
LOC105612334	96	85	64	157	175	97	81	85	66
TGFBRAP1	1248	821	691	715	647	960	767	872	1000
GPR45	0	0	0	0	0	0	0	1	0
MRPS9	826	634	769	875	832	953	818	648	916
LOC114113954	96	41	27	149	146	253	62	45	67
POU3F3	1060	624	498	844	739	2334	511	585	595
LOC105612338	18	12	8	14	9	62	5	3	3
TRNAC-GCA_79	0	0	0	0	0	0	0	0	0
LOC114114163	0	0	0	0	0	0	0	0	0
TMEM182	27	12	27	14	17	24	5	21	9
MFSD9	455	170	214	267	173	277	207	215	329
SLC9A2	746	407	616	603	564	461	469	461	488
SLC9A4	37	12	23	22	6	36	22	31	20
LOC114114184	0	0	0	0	0	0	0	0	0
IL18RAP	23	26	37	15	4	13	3	11	12
IL18R1	19	8	13	4	5	19	15	4	24
IL1RL1	99	36	46	32	27	38	47	6	12
IL1RL2	0	0	0	0	0	2	0	0	0
IL1R1	847	606	496	529	451	1173	325	443	588
LOC114114266	0	0	0	0	0	0	0	0	0
IL1R2	28	20	7	24	30	43	14	13	16
MAP4K4	1404	930	978	767	783	964	884	829	1113
LOC114113955	0	0	0	0	0	1	0	0	0
LOC106991067	7	6	2	4	12	1	1	2	1
TRNAE-UUC_33	0	0	0	0	0	0	0	0	0
RFX8	1	0	0	0	0	0	0	0	1
CREG2	2	0	5	3	10	5	0	1	0
RNF149	834	472	534	705	678	628	579	495	985
LOC114114261	5	3	9	0	0	4	1	7	1
CNOT11	193	131	133	159	151	196	218	187	218
TBC1D8	617	486	450	417	346	534	310	304	758
RPL31	13643	13233	12332	21989	17876	12722	7845	9279	13753
LOC105614674	0	1	2	2	0	0	1	3	4
NPAS2	432	212	305	179	156	171	251	265	243
PDCL3	449	289	260	415	448	473	338	274	436
NMS	0	0	0	0	0	0	0	0	0
CHST10	746	339	281	534	543	534	325	423	284
LONRF2	3	3	4	6	4	11	7	3	1
LOC114113956	8	10	13	0	3	19	11	7	16
TRNAC-GCA_80	0	0	0	0	0	0	0	0	0
TRNAC-ACA_33	0	0	0	0	0	0	0	0	0
LYG1	0	0	0	0	0	0	0	0	0
LYG2	4	0	5	0	0	0	3	0	0
MRPL30	293	222	259	427	456	211	254	239	203
MITD1	195	151	141	189	149	139	68	107	185
LIPT1	115	85	80	83	77	68	97	59	95
C3H2orf15	0	0	0	0	0	1	0	0	0
TSGA10	88	44	59	38	32	73	36	27	61
KIAA1211L	25	15	25	67	42	42	17	19	16
MGAT4A	1701	954	1228	673	629	1378	794	802	1380
LOC105612510	0	3	2	0	2	3	0	0	1
UNC50	1391	728	745	1020	873	741	818	788	1087
LOC101109345	1447	721	747	787	755	880	389	538	928
INPP4A	1012	696	743	661	580	937	570	575	853
LOC114113733	4	26	71	156	144	171	60	45	76
LOC114113734	0	0	0	0	0	0	0	0	0
CNGA3	222	23	11	3	3	22	15	4	99
VWA3B	11	0	4	5	4	4	12	4	6
TMEM131	2007	1204	1412	618	616	1113	1538	1223	1973
LOC101112639	151	127	109	147	117	207	137	104	197
C3H2orf92	1	0	2	0	0	0	0	21	0
ACTR1B	550	348	351	523	508	503	316	330	482
LOC101110664	2896	2285	2425	3843	4144	2258	2880	2484	2839
LOC101113141	3	5	0	6	9	6	2	6	6
FAM178B	0	0	0	2	2	0	0	1	4
LOC114113735	1	0	0	0	0	3	2	2	1
SEMA4C	371	270	230	398	369	403	338	372	346
ANKRD39	295	179	231	465	445	257	340	235	478
ANKRD23	161	290	123	202	251	117	426	96	1399
CNNM3	1217	592	598	446	444	733	837	832	898
CNNM4	236	148	163	151	97	234	104	145	196
LMAN2L	102	68	62	153	136	129	88	73	144
LOC106991069	5	0	1	7	2	6	3	1	4
FER1L5	2	4	3	9	11	15	16	0	11
KANSL3	1360	865	926	905	901	1079	1017	931	1171
ARID5A	24	25	21	76	58	69	28	29	25
NEURL3	127	45	41	16	30	46	50	94	24
ITPRIPL1	213	137	128	145	111	173	94	133	120
LOC114113959	0	0	0	0	0	0	0	0	0
TRNAR-CCU_3	0	0	0	0	0	0	0	0	0
SNRNP200	4016	2347	2630	2679	2582	2561	2817	2938	3197
CIAO1	1356	745	704	777	615	811	700	719	1050
TMEM127	1255	990	730	1329	1174	917	1206	954	1275
LOC105614683	13	5	14	8	21	6	4	22	8
STARD7	1504	896	873	1385	1026	1363	969	982	1262
DUSP2	36	41	43	21	64	18	19	18	33
ASTL	0	0	0	0	2	0	0	0	2
LOC114113616	2	2	5	15	5	1	1	4	4
ADRA2B	294	251	237	329	349	222	235	335	470
GPAT2	46	43	60	61	109	27	71	15	19
LOC101114342	3964	3120	2856	3323	3871	1525	3414	2630	3161
KCNIP3	7	2	5	6	1	3	1	1	1
PROM2	186	201	129	324	353	588	270	275	336
LOC114113736	0	0	0	0	0	0	0	0	0
ZNF2	220	156	104	99	99	141	101	92	118
ZNF514	57	14	23	4	8	24	22	18	31
LOC105611091	8	3	12	2	3	5	2	7	14
MRPS5	643	523	536	590	626	384	428	429	538
LOC101117493	8	0	0	0	0	0	0	0	0
LOC101115527	1234	1435	1088	2899	2788	2273	1285	1349	1647
MALL	600	555	522	242	248	136	337	275	469
NPHP1	235	130	142	167	137	216	165	153	165
MTLN	115	71	43	275	239	58	171	122	110
LOC101117749	9393	7603	6966	5253	4874	2976	7628	9062	8744
LOC114114185	12	6	2	4	7	7	16	3	16
BUB1	292	111	150	186	199	144	214	151	171
ACOXL	7	9	2	3	10	1	4	6	5
BCL2L11	317	178	216	170	127	235	127	115	321
LOC105611978	7	2	2	4	1	5	0	1	1
LOC114108643	4	7	8	28	2	10	9	2	6
LOC114113961	64	101	57	97	57	73	95	73	129
ANAPC1	686	385	462	353	311	413	417	375	528
LOC114114158	0	0	0	0	0	0	0	0	0
MERTK	493	342	356	198	195	438	233	299	363
LOC114114227	0	0	0	0	0	0	0	0	0
TMEM87B	2994	1506	1671	1130	1023	1639	1268	1140	2407
FBLN7	45	18	20	25	39	30	21	21	49
ZC3H8	337	250	192	277	249	260	209	149	324
ZC3H6	278	185	173	94	104	276	93	87	151
TSPAN8	0	0	0	0	0	5	0	2	1
LGR5	429	222	367	155	165	275	220	246	289
LOC114114196	0	0	0	0	5	0	0	0	0
LOC101106227	1466	501	678	510	426	305	954	761	132
ZFC3H1	1839	1186	1305	709	817	1946	767	819	1424
THAP2	805	547	908	466	357	795	404	446	842
TMEM19	2343	835	1356	656	519	1671	883	971	1415
RAB21	571	438	493	157	189	283	371	336	363
TBC1D15	759	462	580	341	332	577	435	372	674
TPH2	32	9	21	1	6	4	11	9	12
LOC101122347	31	28	25	43	46	42	22	19	53
LOC106991070	181	18	74	82	63	30	100	13	33
TRHDE	679	65	403	65	57	43	227	53	88
LOC114113962	0	0	0	0	0	0	0	0	0
LOC114113739	101	39	67	4	10	10	48	39	49
NSMCE1	1508	1182	1195	1638	1483	1170	796	877	1352
KDM8	71	33	26	94	92	39	71	70	73
ATXN7L3B	3560	1936	2403	1327	1235	2544	1848	1888	3005
KCNC2	11	8	12	7	15	9	10	8	17
CAPS2	2	2	6	0	0	0	2	2	11
GLIPR1L1	0	0	0	0	0	0	0	0	0
GLIPR1L2	4	6	6	13	13	6	0	6	10
GLIPR1	34	16	29	8	19	69	26	8	37
KRR1	791	580	597	332	361	562	372	380	661
LOC105611140	0	1	0	1	0	5	0	1	0
PHLDA1	1710	1227	677	1141	1106	1010	1163	1011	2075
NAP1L1	7835	5206	4657	4420	3731	6087	3167	2964	5285
LOC105611136	4	0	2	0	0	1	0	0	0
BBS10	933	291	518	331	203	461	242	417	559
OSBPL8	4426	1600	3071	1821	1594	3273	2174	2075	5461
LOC105611134	1	0	0	1	6	3	1	0	1
ZDHHC17	1009	502	566	407	380	771	322	383	812
CSRP2	525	610	483	1029	1103	294	948	693	1025
E2F7	8	1	4	0	3	12	4	4	8
LOC114114189	0	0	0	0	0	0	0	0	0
LOC114113741	0	0	0	0	0	0	0	0	0
NAV3	279	131	154	60	52	164	83	79	79
TRNAC-GCA_81	0	0	0	0	0	0	0	0	0
SYT1	6	15	1	12	4	21	2	11	1
PAWR	4336	1901	2749	1363	1083	2209	1840	1804	2350
PPP1R12A	2003	1262	1458	1052	812	2361	834	974	1926
OTOGL	9	7	4	0	4	2	0	1	4
PTPRQ	1996	2054	1571	883	590	1729	453	877	1427
LOC105614699	0	1	0	0	2	0	0	0	0
MYF6	0	0	0	0	0	0	0	0	0
LOC114113963	1	2	2	3	0	2	0	4	1
LOC114114207	0	0	2	0	0	0	0	0	0
LOC780463	4	0	3	0	1	1	0	0	0
LOC114113964	0	0	0	0	0	0	0	0	0
MYF5	0	0	0	0	0	0	0	0	0
LIN7A	2	2	75	8	4	12	6	0	5
TRNAC-ACA_34	0	0	0	0	0	0	0	0	0
ACSS3	23665	5723	13512	6800	6189	2836	9267	8563	15628
PPFIA2	38	10	35	21	28	19	16	23	20
CCDC59	419	270	313	356	239	301	168	206	333
METTL25	114	71	82	41	46	67	44	33	88
LOC105614707	0	0	0	0	0	1	4	0	0
LOC114113620	6	5	0	5	6	1	7	0	4
TMTC2	334	296	231	137	133	325	206	169	321
LOC114114249	0	0	0	0	0	0	0	0	0
TRNAW-CCA_36	0	0	0	0	0	0	0	0	0
EM4C	1	2	1	4	4	0	1	0	1
LOC106992027	0	0	1	0	0	0	0	1	0
LOC114113743	0	0	0	0	0	0	0	0	0
LOC101106064	5	1	6	0	0	2	9	1	10
LOC114113621	0	0	0	0	0	0	2	2	0
SLC6A15	22	12	25	4	14	41	15	11	68
TSPAN19	3	2	5	23	2	16	1	5	7
LRRIQ1	9	8	8	4	3	24	0	9	4
LOC114114175	0	0	0	0	0	0	0	0	0
ALX1	66	57	47	79	49	131	19	38	51
RASSF9	130	117	108	29	23	170	75	89	118
NTS	5	5	9	9	7	124	8	29	6
LOC114113966	3	0	0	0	0	2	0	2	7
TRNAG-CCC_31	0	0	0	0	0	0	0	0	0
TRNAC-GCA_82	0	0	0	0	0	0	0	0	0
MGAT4C	2	1	0	14	3	0	3	2	8
LOC106990344	0	0	0	0	0	0	0	0	0
C3H12orf50	7	1	4	0	2	4	1	7	5
C3H12orf29	693	359	456	410	431	383	392	350	603
CEP290	988	484	504	381	308	851	337	428	726
TMTC3	1221	805	804	330	292	706	570	541	1081
KITLG	2187	1273	1557	786	569	1356	818	957	1822
TRNAG-CCC_32	0	0	0	0	0	0	0	0	0
LOC105610274	0	0	0	0	0	0	0	0	0
TRNAK-UUU_2	0	0	0	0	0	0	0	0	0
DUSP6	3651	1370	1779	1578	1305	3232	1289	1351	1670
LOC114113967	50	41	18	81	72	19	13	19	44
POC1B	451	297	320	192	165	349	220	207	285
LOC101111006	286	131	129	60	47	174	105	150	184
ATP2B1	1782	1190	1423	837	666	1590	865	1027	1519
LOC101119111	5	7	4	1	15	6	6	3	16
CCER1	0	0	0	0	0	0	0	0	0
EPYC	0	0	0	0	0	0	0	0	0
LOC114114221	0	0	0	0	0	0	0	0	0
KERA	0	0	0	1	0	1	0	0	0
LUM	4312	2678	3177	2355	2590	3930	1463	1686	4170
DCN	5966	5830	4290	4426	3861	4234	2566	2982	4502
LOC105607925	0	2	0	0	0	0	0	0	7
TRNAW-CCA_37	0	0	0	0	0	0	0	0	0
LOC101113221	62	29	34	40	19	32	43	32	45
BTG1	1982	1563	1685	2587	2003	2724	1115	1217	2568
LOC114114145	0	0	0	0	0	1	0	0	0
PLEKHG7	15	23	15	8	11	50	16	11	10
LOC114114195	0	0	0	0	0	0	0	0	0
EEA1	2125	1260	1737	767	515	1653	799	903	1689
TRNAE-CUC_18	0	0	0	0	0	0	0	0	0
LOC105607931	10	8	15	11	18	18	7	2	14
NUDT4	5975	5084	5300	5293	4074	6324	4239	4937	7320
UBE2N	945	439	583	376	363	798	521	543	842
MRPL42	516	359	359	628	522	362	424	347	428
SOCS2	973	360	482	729	536	465	482	330	386
CRADD	237	202	229	239	241	161	215	173	232
LOC105607935	3	0	0	0	0	0	0	1	1
PLXNC1	244	168	148	102	60	207	142	75	192
CEP83	470	316	222	245	221	266	187	198	366
TMCC3	407	372	611	522	427	461	217	303	571
TRNAC-GCA_83	0	0	0	0	0	0	0	0	0
NDUFA12	731	544	654	959	910	580	645	663	752
NR2C1	777	469	513	383	293	603	347	323	608
FGD6	412	197	329	102	90	343	128	173	214
VEZT	1041	575	758	678	533	834	370	429	769
METAP2	1516	1077	1282	830	759	1191	810	883	1566
USP44	84	45	54	65	58	100	33	24	72
LOC101118004	0	0	0	0	0	0	0	0	0
LOC114113623	0	0	0	0	0	0	0	0	0
GLYCAM1	0	0	4	0	1	1	0	0	2
PPP1R1A	74	216	131	735	781	880	207	580	370
PDE1B	28	31	17	36	48	110	22	42	87
NCKAP1L	231	178	180	81	110	156	152	83	209
GTSF1	8	3	4	1	4	5	9	1	0
ITGA5	287	256	294	255	369	376	309	241	328
ZNF385A	48	51	44	86	154	67	79	48	64
GPR84	2	1	0	1	1	1	2	1	2
COPZ1	1653	818	1172	1572	1287	1241	981	925	1395
LOC114113969	4	0	1	0	0	0	5	1	6
NFE2	6	7	1	11	2	7	0	2	1
HNRNPA1	7278	6040	6086	4671	5194	5828	3727	3506	4993
CBX5	2051	1323	1652	663	567	1735	1174	1080	1596
SMUG1	1080	609	676	768	891	1004	853	679	1017
LOC105611014	10	25	9	18	35	109	3	11	10
LOC105611015	3	6	5	14	32	28	2	6	6
LOC105611011	20	19	3	12	31	136	6	10	21
LOC105611012	9	10	9	28	22	20	7	16	9
HOXC4	96	75	62	88	71	175	31	53	61
HOXC5	41	27	33	70	111	184	37	37	39
HOXC6	216	220	225	380	448	309	249	203	290
HOXC8	123	81	82	93	101	167	46	58	129
LOC114113971	68	43	16	18	27	49	25	25	84
HOXC9	186	107	133	199	168	105	122	134	155
LOC105614720	92	52	50	166	180	98	81	46	142
LOC114113970	76	40	38	33	47	69	84	57	105
HOXC10	184	71	112	146	127	91	94	155	130
LOC105611006	26	13	28	23	45	22	40	24	26
HOXC11	97	45	44	70	113	61	40	39	52
LOC105611004	43	14	22	38	26	55	19	6	22
HOXC12	1	0	0	0	0	0	0	0	0
HOXC13	3	0	0	0	0	1	1	0	0
LOC114114198	0	0	0	0	0	0	0	0	0
CALCOCO1	1503	1059	1050	1232	1301	967	1082	983	1238
LOC114113972	10	20	19	23	30	14	22	23	23
ATP5MC2	1550	1263	1135	2459	2647	1407	1870	1795	1490
ATF7	1067	805	849	438	433	730	560	649	715
NPFF	25	25	9	37	55	24	28	17	54
TARBP2	226	143	127	388	464	276	218	200	271
MAP3K12	159	115	92	161	194	147	113	116	179
PCBP2	10437	6627	6776	7348	6773	6175	5756	5540	8041
LOC114114190	1	1	0	0	0	2	0	0	0
PRR13	887	624	707	795	685	755	525	472	753
AMHR2	21	4	12	9	10	12	12	8	24
SP1	2162	1343	1377	899	747	1570	943	1032	1415
SP7	3	2	0	0	3	1	0	0	0
AAAS	164	97	114	163	145	123	120	133	133
C3H12orf10	210	166	152	313	317	180	180	209	176
PFDN5	1751	1728	1792	2495	2540	1371	1321	1326	1302
ESPL1	21	18	10	23	24	38	24	22	17
MFSD5	447	273	287	479	404	426	346	333	535
LOC105614722	4	4	3	10	16	4	1	0	4
RARG	191	196	242	250	223	228	186	154	202
ITGB7	162	90	67	166	174	144	132	94	184
ZNF740	820	550	518	498	578	598	431	453	574
CSAD	1230	537	596	1099	1063	760	767	779	1292
SOAT2	1	2	1	0	0	0	0	4	0
IGFBP6	464	520	254	768	682	626	405	421	418
SPRYD3	808	392	470	896	901	716	593	498	603
TNS2	1872	1439	1255	2321	2726	2315	1440	1572	1966
EIF4B	9598	7503	6804	4166	3653	5539	3746	4382	5962
KRT18	147	81	125	267	237	249	128	162	117
LOC105610999	1	2	0	3	12	1	0	2	1
KRT8	921	620	702	1300	1075	1694	624	726	655
KRT78	55	35	55	114	117	26	13	33	26
KRT79	0	0	0	0	0	0	0	0	0
KRT4	0	0	0	0	0	0	0	0	0
KRT3	0	0	0	0	0	0	0	0	0
LOC101111271	0	0	0	0	0	0	0	0	0
LOC101111791	0	0	0	0	0	0	0	0	0
KRT77	4	11	4	17	42	4	8	12	11
KRT1	0	0	0	0	0	0	0	0	0
KRT2	0	0	0	0	0	0	0	0	0
LOC101109951	0	0	0	0	0	0	0	0	0
LOC101110219	0	0	0	0	0	0	0	0	1
KRT74	0	0	0	0	0	0	0	0	0
KRT71	0	0	0	0	0	0	0	0	0
KRT5	0	3	0	0	0	0	0	0	0
KRT6A	0	0	0	0	0	0	0	0	0
LOC101111178	0	0	0	0	0	0	0	0	0
LOC114113975	0	0	0	0	0	0	0	0	0
LOC114113977	0	0	0	0	0	0	0	0	0
LOC114113979	0	0	0	0	0	0	0	0	0
LOC114113976	0	0	0	0	0	0	0	0	0
LOC101112555	0	0	0	0	0	0	0	0	0
LOC101111440	0	0	0	0	0	0	0	0	0
KRT82	0	0	0	0	0	0	0	0	0
KRT84	0	0	0	0	0	0	0	0	0
LOC100141295	0	0	0	0	0	0	0	0	0
LOC101112805	0	0	0	0	0	0	0	0	0
LOC100526780	0	0	0	0	0	0	0	0	0
KRT2.11	0	0	0	0	0	0	0	0	0
LOC100526784	0	0	0	0	0	0	0	0	0
LOC105610939	0	0	0	0	1	0	0	0	2
LOC101112469	0	14	0	2	6	5	4	6	5
LOC101113055	0	6	0	0	4	2	2	0	4
KRT7	292	232	96	485	407	245	358	217	353
KRT80	81	66	38	37	34	44	17	29	22
LOC105610935	3	0	0	0	0	2	2	0	2
LOC114113624	7	0	2	0	1	6	1	4	7
ATG101	256	160	131	363	346	244	255	219	312
NR4A1	139	962	420	194	466	158	104	132	212
GRASP	81	97	42	94	136	139	89	87	50
ACVR1B	1789	1086	1265	1287	1206	1290	1439	1282	1768
ACVRL1	677	519	568	827	817	787	506	596	874
ANKRD33	16	9	6	9	19	22	3	1	8
FIGNL2	173	74	93	130	170	175	132	155	133
LOC114113746	0	0	0	0	0	1	0	2	1
SCN8A	3	12	16	5	0	14	1	3	9
TRNAW-CCA_38	0	0	0	0	0	0	0	0	0
TRNAE-UUC_34	0	0	0	0	0	0	0	0	0
SLC4A8	220	97	142	121	96	171	121	120	239
LOC114113625	0	0	0	0	0	0	0	0	0
GALNT6	108	50	64	135	127	84	89	86	106
TRNAG-CCC_33	0	0	0	0	2	0	0	0	0
CELA1	19	8	8	12	8	17	7	1	11
BIN2	91	88	82	99	134	99	99	53	71
SMAGP	853	681	844	780	590	926	486	546	654
DAZAP2	6974	3608	4848	5734	4678	5046	3852	4082	6228
TRNAR-CCU_4	0	1	1	0	0	5	0	0	0
POU6F1	202	132	134	122	157	202	115	116	168
TFCP2	961	640	719	486	486	773	446	523	809
CSRNP2	345	347	326	246	254	323	217	239	381
LETMD1	376	226	210	187	209	273	199	214	339
LOC105610932	99	38	64	111	73	84	48	71	98
LOC101115614	428	246	347	115	105	236	255	217	419
LOC114114251	0	0	0	0	0	0	0	0	0
LOC101116975	93	77	77	53	88	99	57	47	119
LOC101116391	10	0	2	4	0	4	5	2	1
HIGD1C	0	4	0	3	0	0	0	0	0
LOC101117657	2003	849	1101	1330	1048	1207	830	963	1601
TMPRSS12	0	0	0	0	0	0	0	0	0
LOC114113983	43	25	34	67	46	558	26	40	80
ATF1	1105	761	897	708	580	829	536	554	912
DIP2B	1052	660	866	379	331	908	596	583	898
LOC101117527	0	0	1	0	0	0	1	0	2
LARP4	1447	854	1065	393	288	879	760	697	1177
FAM186A	0	0	0	0	0	0	0	0	0
LIMA1	2857	1757	2042	1488	1258	2042	1569	1419	1994
CERS5	972	626	592	700	681	745	644	638	906
GPD1	7186	4868	5413	4467	4986	1623	6362	5508	7958
LOC101119459	36	13	16	35	18	16	48	25	115
SMARCD1	863	603	641	470	515	664	514	539	648
ASIC1	0	0	0	0	8	0	2	0	0
LOC105612625	5	0	1	0	0	1	1	0	0
RACGAP1	55	52	134	32	39	81	51	51	53
