D0_R1	D0_R2	D0_R3	D7_R1	D7_R2	D7_R3	D14_R1	D14_R2	D14_R3
DLGAP3	0	1	0	3	4	5	0	3	0
LOC101114743	1	4	0	0	0	2	6	3	2
TMEM35B	51	22	44	19	14	14	28	10	72
ZMYM6	782	509	523	503	396	752	418	360	675
ZMYM1	1205	756	760	399	381	1054	431	508	873
LOC105602104	0	1	0	5	4	7	2	0	0
SFPQ	4188	2721	2596	3198	3213	4842	2675	2775	4517
LOC101109132	16	22	5	46	32	25	13	21	32
LOC114111011	1	2	7	1	3	0	2	0	3
ZMYM4	916	540	645	304	266	655	434	406	634
LOC114114023	0	2	0	0	0	0	0	0	0
LOC101109655	35	17	19	44	32	37	30	25	36
KIAA0319L	1132	497	672	642	581	572	617	583	785
NCDN	406	220	240	419	389	336	338	302	371
TFAP2E	4	6	4	13	7	8	6	9	10
PSMB2	1108	687	574	1071	964	735	697	665	875
C1H1orf216	308	165	157	120	105	188	137	123	163
CLSPN	43	21	19	18	16	22	44	20	44
AGO4	771	405	522	199	154	513	361	335	545
AGO1	642	391	452	38	53	275	340	338	293
LOC114114040	146	107	94	119	105	115	108	59	96
AGO3	983	592	629	401	272	1057	470	522	754
LOC114114045	69	47	54	41	45	49	22	44	84
LOC114111240	0	0	0	0	0	0	0	0	0
TEKT2	14	50	17	187	157	51	27	43	69
ADPRHL2	363	205	178	347	407	296	236	190	415
COL8A2	314	157	168	212	246	175	160	160	167
TRAPPC3	639	342	433	723	662	497	487	426	573
MAP7D1	664	432	361	981	936	840	688	655	705
THRAP3	3045	1986	2358	1884	1664	2220	2475	1964	2989
SH3D21	17	29	32	116	136	83	57	53	57
EVA1B	544	333	298	1073	996	543	725	605	664
STK40	1009	798	693	934	987	702	1006	785	855
LSM10	283	250	142	170	208	202	161	115	225
OSCP1	144	79	86	133	119	86	82	96	111
MRPS15	466	333	376	685	724	326	490	386	485
CSF3R	9	14	22	22	33	7	28	12	9
GRIK3	2	5	3	0	2	1	0	0	3
LOC105603244	27	50	22	24	15	58	25	35	15
ZC3H12A	136	70	107	150	173	160	138	93	184
MEAF6	560	552	453	471	389	715	287	378	616
SNIP1	353	246	223	185	144	247	200	186	290
DNALI1	2	11	3	13	14	10	5	13	6
GNL2	434	237	240	339	334	323	219	233	365
RSPO1	19	5	18	48	20	7	21	6	5
C1H1orf109	214	113	110	77	70	151	81	116	127
CDCA8	6	5	1	0	2	9	10	7	3
EPHA10	0	0	0	0	0	0	0	0	0
LOC114111163	0	0	0	0	0	0	0	0	0
MANEAL	57	51	45	74	52	85	28	66	60
YRDC	753	500	443	896	676	690	503	480	947
C1H1orf122	206	91	125	282	246	159	202	194	187
MTF1	954	519	657	355	341	474	539	483	700
INPP5B	784	547	587	586	638	600	477	420	657
SF3A3	1126	841	1022	1003	897	908	724	740	864
FHL3	81	56	67	182	156	120	55	66	80
LOC101117458	346	288	226	354	323	283	161	209	292
LOC114112957	0	0	0	0	0	0	0	0	2
LOC114112960	1	0	1	5	0	0	2	3	0
RRAGC	637	447	455	174	125	368	380	349	542
MYCBP	1911	1167	1176	958	850	1170	839	820	1574
GJA9	13	8	3	6	15	28	0	3	9
RHBDL2	27	17	23	19	29	68	26	19	24
TRNAA-UGC	0	0	0	0	0	0	0	0	0
TRNAA-UGC_1	0	0	0	0	0	0	0	0	0
TRNAA-UGC_2	0	0	0	0	0	0	0	0	0
LOC114111188	0	0	0	0	0	0	0	0	0
AKIRIN1	663	401	497	214	143	474	500	384	579
LOC114114099	5	4	2	3	17	15	7	0	17
NDUFS5	1876	1341	1112	2711	2615	1248	1278	1401	1508
MACF1	7213	5443	7047	2945	2649	4945	4154	4207	5347
LOC114110953	1	2	0	0	2	0	1	0	0
KIAA0754	105	89	128	28	38	119	83	61	81
BMP8A	1	0	0	0	2	1	0	1	3
LOC105604051	0	0	0	0	0	0	0	0	0
PABPC4	1496	1309	999	1060	1251	1432	965	1001	1570
LOC114111320	3	3	2	0	0	0	0	1	2
HEYL	416	276	283	535	536	448	443	359	499
NT5C1A	9	6	4	5	8	1	5	6	3
HPCAL4	212	157	188	157	127	218	132	122	186
PPIE	369	366	271	318	366	268	206	162	255
BMP8B	10	0	1	3	30	2	8	8	18
OXCT2	0	0	0	0	0	0	0	0	0
TRIT1	1255	869	942	934	906	1134	710	780	1109
MYCL	36	29	44	54	33	30	24	22	46
MFSD2A	9	2	21	4	9	2	0	2	5
CAP1	3277	1865	2153	1459	1530	2398	1777	1881	2401
PPT1	1897	1117	1760	1567	1367	1479	1003	1080	1720
LOC114111355	0	0	0	0	0	0	0	0	0
LOC105603393	24	9	18	17	21	23	9	12	32
RLF	639	450	494	250	226	595	286	332	581
TMCO2	4	4	2	14	3	7	1	2	2
ZMPSTE24	1134	507	718	488	368	626	617	464	828
LOC105604745	9	4	5	2	3	6	6	6	5
COL9A2	0	0	0	0	0	0	0	0	0
SMAP2	844	399	506	575	397	654	475	501	523
ZFP69B	1	0	3	1	0	5	1	2	0
ZFP69	322	218	209	220	200	279	180	150	211
EXO5	245	164	200	230	177	191	121	164	192
ZNF684	58	21	36	34	32	32	20	30	38
RIMS3	274	86	74	134	152	169	182	87	287
LOC105605528	271	171	183	188	362	329	232	223	319
NFYC	1109	581	698	1134	1205	1225	784	752	1001
MIR30C	1	0	0	0	0	0	0	0	0
KCNQ4	13	8	4	34	56	13	22	7	67
CITED4	390	262	226	1976	2077	863	912	510	1456
CTPS1	136	86	106	147	131	280	101	66	203
SLFNL1	2	0	0	0	0	1	0	0	6
SCMH1	565	391	431	371	362	431	352	369	456
LOC114111142	0	0	0	0	0	0	0	0	0
TRNAG-CCC	0	0	0	0	0	0	0	0	0
FOXO6	9	1	2	4	9	13	7	13	10
EDN2	1	4	0	0	0	10	3	0	0
HIVEP3	72	67	62	48	55	79	54	68	47
LOC114114913	0	3	0	0	0	0	0	0	0
TRNAC-GCA	0	0	0	0	0	0	0	0	0
GUCA2B	0	0	0	0	3	0	0	1	0
